,User attribute 1,User attribute 2,User attribute 3,User attribute 4,User attribute 5,User attribute 6,User attribute 7,User attribute 8,User attribute 9,User attribute 11,User attribute 12,Age,Phone OS version,Countries,User source sh,User attribute 10,Phone brand sh,Target variable Y
7717,26,0,5,0,0.0625,0.1328125,0.0,128,0,1,1,28,9,US,Bidalgo - Facebook,MV,samsung,1
3251,28,0,4,0,0.0,0.1176470588,0.0,68,0,0,0,30,7,FR,Bidalgo - Instagram,MV,samsung,0
8154,21,0,1,0,0.03333333333,0.2333333333,0.0,30,0,1,0,23,7.1.1,US,Bidalgo - Facebook,MV,motorola,0
9197,39,0,4,0,0.02631578947,0.2631578947,0.0,76,0,1,1,41,8.0.0,US,Bidalgo - Facebook,MV,motorola,0
5936,39,0,6,1,0.04273504274,0.1538461538,0.0,117,0,0,0,41,7.1.2,DE,Facebook,MV,Xiaomi,0
2226,38,0,2,0,0.1041666667,0.0625,0.0,48,0,1,1,40,8.1.0,GB,Bidalgo - Facebook,MV,HUAWEI,0
313,13,0,3,0,0.01408450704,0.1830985915,0.0,71,0,0,1,15,8.0.0,US,Bidalgo - Instagram,MV,samsung,0
3909,34,0,2,1,0.0206185567,0.0412371134,0.0,97,0,0,1,36,8.0.0,US,Fluent,Fluent,samsung,0
5526,47,0,0,0,0.1666666667,0.05555555556,0.0,36,0,1,1,49,8.0.0,GB,MV,MV,HUAWEI,0
9063,21,0,5,1,0.06493506494,0.1948051948,0.0,77,0,1,0,23,7.1.1,US,Bidalgo - Facebook,MV,Yulong,0
4828,44,0,2,1,0.1139240506,0.050632911389999986,0.0,79,0,0,0,46,7.1.1,US,Bidalgo - Facebook,MV,ZTE,0
9594,32,0,5,0,0.0253164557,0.164556962,0.0,79,0,1,0,34,7,US,Facebook,MV,samsung,0
174,18,0,3,1,0.0,0.02362204724,0.0,127,0,1,1,20,8.0.0,CA,Bidalgo - Facebook,MV,samsung,0
271,22,0,2,0,0.07086614173,0.1811023622,0.0,127,0,0,1,24,8.0.0,SG,Bidalgo - Facebook,MV,samsung,0
2879,47,0,0,0,0.0,0.08333333333,0.0,24,0,1,0,49,7.1.2,US,Fluent,Fluent,LGE,0
6513,50,0,1,0,0.1803278689,0.08196721311,0.0,61,0,1,0,52,7.1.1,US,MV,MV,ZTE,0
8622,35,0,1,1,0.0,0.02272727273,0.0,44,0,0,0,37,7,US,Facebook,MV,LGE,0
1212,25,0,3,0,0.005747126437,0.1091954023,0.0,174,0,0,1,27,8.1.0,SG,Facebook,MV,OPPO,0
3310,23,0,0,0,0.0,0.1538461538,0.0,26,0,0,0,25,5.1.1,US,MV,MV,samsung,0
386,40,0,8,0,0.032679738560000005,0.2745098039,0.0,153,0,0,1,42,8.1.0,US,Bidalgo - Facebook,MV,samsung,0
5831,44,0,9,1,0.02325581395,0.4651162791,0.0,43,0,0,0,46,7,GB,Other,MV,Other,0
5343,13,0,2,1,0.02857142857,0.2857142857,0.0,70,0,0,1,15,8.0.0,DK,Facebook,MV,HUAWEI,0
9756,30,0,11,1,0.03488372093,0.2674418605,0.0,86,0,1,1,32,8.0.0,CA,MV,MV,samsung,0
9554,35,0,0,0,0.0,0.1956521739,0.0,46,0,0,0,37,7,US,Other,MV,LGE,0
2478,35,0,2,0,0.0447761194,0.1641791045,0.0,67,0,1,0,37,7,GB,Facebook,MV,samsung,0
2123,36,0,0,1,0.07142857142999999,0.1785714286,0.0,28,0,0,0,38,6,GB,Bidalgo - Facebook,MV,Other,0
8530,21,0,3,1,0.0,0.19101123600000006,0.0,89,0,0,1,23,8.0.0,US,Facebook,MV,samsung,0
6533,30,0,1,0,0.08,0.04,0.0,50,0,0,0,32,6.0.1,US,Facebook,MV,ZTE,0
2926,22,0,1,0,0.0,0.2826086957,0.0,46,0,0,1,24,8.0.0,GB,Facebook,MV,samsung,0
6229,50,0,1,0,0.06315789474,0.2,0.0,95,0,1,1,52,8.1.0,DE,Facebook,MV,samsung,1
3542,20,1,4,1,0.0,0.4252873563,1.0,87,1,0,1,22,8.1.0,US,Facebook,MV,Razer,0
5930,29,0,2,1,0.09756097561,0.1463414634,0.0,41,0,1,0,31,6.0.1,US,MV,MV,samsung,0
2252,19,0,1,1,0.0,0.2083333333,0.0,48,0,0,0,21,7,US,Facebook,MV,LGE,0
6276,29,0,1,0,0.08695652174,0.04347826087,0.0,23,0,0,1,31,8.0.0,CA,Bidalgo - Facebook,MV,LGE,0
1433,57,0,3,1,0.06024096386,0.1445783133,0.0,415,0,1,0,59,7,US,Other,MV,samsung,0
6616,13,0,0,0,0.0,0.15,0.0,40,0,0,1,15,8.0.0,US,Facebook,MV,samsung,0
1980,50,0,6,1,0.01960784314,0.1568627451,0.0,102,0,1,1,52,8.0.0,US,Bidalgo - Facebook,MV,samsung,0
2698,27,0,2,2,0.1228070175,0.04385964912,0.0,114,0,1,1,29,8.0.0,US,Bidalgo - Facebook,MV,samsung,0
4119,46,0,0,0,0.1,0.06666666667,0.0,60,0,1,1,48,8.1.0,GB,Bidalgo - Facebook,MV,HUAWEI,0
8924,24,0,3,1,0.025,0.225,0.0,40,0,0,0,26,7,US,Facebook,MV,LGE,0
439,29,0,3,0,0.02222222222,0.08888888889,0.0,45,0,0,0,31,7,GB,MV,MV,Sony,0
70,25,0,3,1,0.0253164557,0.164556962,0.0,79,0,1,0,27,7,US,Bidalgo - Facebook,MV,samsung,0
9465,48,0,2,1,0.02985074627,0.1641791045,0.0,67,0,1,1,50,8.0.0,US,YouTube,MV,samsung,0
5904,24,0,3,1,0.03333333333,0.1666666667,0.0,30,0,0,0,26,7.1.2,US,Facebook,MV,LGE,0
6755,33,0,7,1,0.03488372093,0.4069767442,0.0,86,0,1,1,35,8.0.0,US,MV,MV,motorola,0
7274,18,0,2,1,0.0,0.109375,0.0,64,0,0,1,20,8.0.0,GB,Bidalgo - Instagram,MV,samsung,0
8462,23,0,2,0,0.0,0.08333333333,0.0,36,0,0,1,25,8.0.0,FR,Bidalgo - Instagram,MV,HUAWEI,0
2829,23,0,2,0,0.01851851852,0.1851851852,0.0,54,0,0,1,25,8.0.0,DK,Facebook,MV,samsung,0
8696,30,0,2,1,0.0,0.1896551724,0.0,58,0,0,1,32,8.0.0,US,Facebook,MV,samsung,0
3120,43,0,0,1,0.06557377049,0.08196721311,0.0,61,0,1,0,45,7,US,Bidalgo - Facebook,MV,LGE,0
4289,37,0,1,0,0.0,0.05882352941000001,0.0,34,0,0,0,39,5.1.1,CA,Bidalgo - Facebook,MV,samsung,0
1106,66,0,2,2,0.06896551724,0.05172413793,0.0,58,0,1,1,68,8.0.0,US,Bidalgo - Facebook,MV,samsung,0
1024,18,0,0,0,0.0243902439,0.0487804878,0.0,41,0,0,1,20,8.0.0,FI,Bidalgo - Facebook,MV,samsung,0
943,55,0,0,0,0.01587301587,0.14285714289999998,0.0,126,0,0,0,57,7,US,Fyber - Android,MV,LGE,0
2245,21,0,1,0,0.0,0.1,0.0,30,0,0,0,23,5.1.1,FR,Bidalgo - Instagram,MV,samsung,0
4337,26,0,11,1,0.08018867924999999,0.358490566,0.0,212,0,0,1,28,9,GB,Bidalgo - Facebook,MV,Google,0
1787,38,0,1,1,0.0,0.09090909091,0.0,77,0,0,1,40,8.1.0,US,Bidalgo - Facebook,MV,samsung,0
7271,28,0,2,1,0.01538461538,0.2,0.0,65,0,0,1,30,8.1.0,US,Google Adwords,MV,samsung,0
8205,29,0,1,0,0.0,0.04,0.0,75,0,1,0,31,6.0.1,US,Bidalgo - Facebook,MV,TCL,0
3746,33,0,3,1,0.0,0.05263157895,0.0,57,0,0,0,35,7.1.1,US,Facebook,MV,ZTE,0
6082,15,0,1,1,0.05555555556,0.19444444440000005,0.0,36,0,0,0,17,7,DK,Facebook,MV,HUAWEI,0
5496,28,0,7,3,0.05594405594,0.2027972028,0.0,143,0,1,1,30,8.0.0,US,Bidalgo - Facebook,MV,samsung,0
3427,20,0,3,0,0.01898734177,0.1012658228,0.0,158,0,0,1,22,9,SG,Bidalgo - Instagram,MV,asus,0
5217,21,0,0,0,0.0,0.02325581395,0.0,43,0,0,0,23,6.0.1,FR,Bidalgo - Instagram,MV,samsung,0
3619,26,0,3,0,0.01851851852,0.05555555556,0.0,54,0,0,1,28,8.0.0,CA,Snapchat,MV,samsung,0
8951,48,0,0,0,0.0,0.2777777778,0.0,18,0,1,0,50,5.1.1,US,Bidalgo - Facebook,MV,LGE,0
6598,21,0,6,0,0.01351351351,0.3243243243,0.0,74,0,1,1,23,9,SE,Bidalgo - Facebook,MV,HUAWEI,0
4892,18,0,1,2,0.0,0.02857142857,0.0,35,0,0,1,20,8.0.0,US,Facebook,MV,samsung,0
7758,30,0,1,1,0.0,0.2258064516,0.0,62,0,0,0,32,7.1.1,US,MV,MV,motorola,0
7263,14,0,0,1,0.019230769230000003,0.057692307689999986,0.0,52,0,0,1,16,8.0.0,US,MV,MV,samsung,0
1741,28,0,2,1,0.0,0.2638888889,0.0,72,0,1,0,30,7,US,Facebook,MV,LGE,0
4493,13,0,3,1,0.0,0.1538461538,0.0,39,0,0,0,15,7,US,Bidalgo - Instagram,MV,samsung,0
4555,22,0,0,0,0.0,0.06060606061000001,0.0,66,0,0,1,24,8.1.0,US,Google Adwords,MV,TCL,0
5420,24,0,3,1,0.0701754386,0.2192982456,0.0,114,0,0,1,26,8.1.0,GB,Bidalgo - Facebook,MV,HUAWEI,0
6519,21,0,1,0,0.01863354037,0.08074534161000001,0.0,161,0,0,1,23,8.0.0,SE,Bidalgo - Instagram,MV,HUAWEI,0
6225,38,0,1,1,0.03333333333,0.1333333333,0.0,60,0,1,0,40,7,NZ,Facebook,MV,Vodafone,0
3178,18,0,1,2,0.02173913043,0.1086956522,0.0,46,0,0,0,20,7.1.1,US,Facebook,MV,samsung,0
9875,22,0,4,0,0.0,0.3727272727000001,0.0,110,0,0,1,24,8.0.0,US,YouTube,MV,LGE,0
6962,28,0,1,2,0.0,0.04761904762,0.0,42,0,1,0,30,7.1.1,US,Bidalgo - Facebook,MV,samsung,0
622,18,0,2,0,0.0,0.26,0.0,50,0,0,1,20,8.0.0,MX_US,Facebook,MV,motorola,0
9744,19,0,3,0,0.0,0.2647058824,0.0,34,0,0,0,21,7.1.1,US,Facebook,MV,motorola,0
4558,50,0,1,2,0.0,0.1224489796,0.0,49,0,1,0,52,7.1.1,US,YouTube,MV,motorola,0
381,35,0,2,0,0.0,0.15,0.0,20,0,0,0,37,6,DE,Facebook,MV,HUAWEI,0
6242,28,0,6,1,0.01935483871,0.3483870968,0.0,155,0,0,0,30,7,NO,Facebook,MV,samsung,0
8788,47,0,0,0,0.0,0.2962962963,0.0,27,0,1,0,49,7.1.1,US,Bidalgo - Facebook,MV,motorola,0
4465,19,0,2,1,0.0,0.075,0.0,40,0,1,0,21,6.0.1,GB,Bidalgo - Instagram,MV,samsung,0
7103,25,0,8,1,0.01136363636,0.2727272727,0.0,88,0,1,1,27,9,FI,Facebook,MV,HUAWEI,0
2378,22,0,1,0,0.01754385965,0.05263157895,0.0,57,0,0,0,24,6.0.1,US,Bidalgo - Facebook,MV,TCL,0
2365,35,0,5,0,0.01265822785,0.417721519,0.0,79,0,0,1,37,8.0.0,NZ,Facebook,MV,HUAWEI,0
555,24,0,4,4,0.07189542484,0.09803921569,0.0,153,0,1,1,26,8.0.0,US,Bidalgo - Facebook,MV,samsung,0
3855,23,0,5,1,0.01041666667,0.2291666667,1.0,96,1,0,0,25,6.0.1,DE,Bidalgo - Instagram,MV,OnePlus,0
7835,57,0,3,0,0.03703703704,0.2777777778,0.0,54,0,1,1,59,8.1.0,US,Bidalgo - Facebook,MV,LGE,0
2857,23,0,2,0,0.03703703704,0.14814814810000002,0.0,54,0,0,1,25,8.0.0,FR,Other,MV,samsung,0
2279,24,0,0,1,0.025,0.05,0.0,40,0,0,0,26,7,US,Bidalgo - Instagram,MV,LGE,0
1252,39,0,3,2,0.07228915663,0.07228915663,0.0,83,0,0,0,41,7,US,Bidalgo - Facebook,MV,motorola,0
3303,12,0,5,1,0.0,0.2444444444,0.0,45,0,0,0,14,7.1.1,US,YouTube,MV,samsung,0
2363,18,0,4,1,0.009615384615,0.1538461538,0.0,104,0,1,1,20,8.0.0,US,Bidalgo - Snapchat,MV,samsung,0
5765,14,0,1,0,0.02222222222,0.1111111111,0.0,45,0,1,1,16,8.1.0,US,YouTube,MV,samsung,0
8198,42,0,0,1,0.04166666667,0.08333333333,0.0,24,0,0,1,44,8.1.0,US,Bidalgo - Facebook,MV,LGE,0
2479,28,0,0,0,0.0,0.05454545455,0.0,55,0,0,0,30,7,NZ,Facebook,MV,samsung,0
8389,23,0,0,0,0.02127659574,0.19148936170000005,0.0,47,0,0,1,25,9,GB,Fyber - Android,MV,Global,0
5822,31,0,3,2,0.01123595506,0.1235955056,0.0,89,0,1,1,33,8.0.0,US,Other,MV,samsung,0
1997,29,0,2,0,0.02352941176,0.2117647059,0.0,85,0,0,1,31,8.0.0,DK,MV,MV,HUAWEI,0
1705,43,0,1,0,0.0,0.14285714289999998,0.0,14,0,1,0,45,6,DE,Other,MV,LGE,0
5577,23,0,1,0,0.0,0.115942029,0.0,69,0,0,1,25,8.0.0,DE,Facebook,MV,samsung,0
1682,23,0,1,0,0.0,0.3684210526,0.0,38,0,0,0,25,6,FI,MV,MV,HUAWEI,0
6895,18,0,1,1,0.0,0.125,0.0,64,0,0,1,20,8.0.0,SE,MV,MV,samsung,0
8125,45,0,1,1,0.01612903226,0.1451612903,0.0,62,0,1,1,47,8.0.0,CA,Bidalgo - Facebook,MV,samsung,0
4883,33,0,1,0,0.0,0.1153846154,0.0,26,0,0,0,35,6.0.1,US,Bidalgo - Facebook,MV,LGE,0
8920,27,0,4,1,0.014814814809999997,0.14814814810000002,0.0,135,0,0,1,29,8.0.0,NZ,Bidalgo - Facebook,MV,samsung,0
7543,33,0,4,1,0.03896103896,0.4155844156,0.0,77,0,1,0,35,6.0.1,US,Facebook,MV,samsung,0
9794,18,0,0,0,0.0,0.02272727273,0.0,44,0,0,1,20,8.0.0,NO,Bidalgo - Instagram,MV,samsung,0
4305,23,0,3,1,0.01587301587,0.1904761905,0.0,63,0,0,1,25,8.1.0,US,Facebook,MV,motorola,0
3967,27,0,14,0,0.0,0.4285714286,0.0,105,0,0,0,29,7,US,YouTube,MV,Other,0
8949,20,0,3,1,0.0487804878,0.09756097561,0.0,41,0,1,0,22,7.1.1,US,MV,MV,samsung,0
9341,46,0,1,2,0.0,0.0,0.0,39,0,0,0,48,7,US,Bidalgo - Facebook,MV,LGE,0
4696,24,0,2,1,0.0,0.3333333333,0.0,30,0,0,0,26,7.1.2,US,Facebook,MV,LGE,0
9798,26,0,1,0,0.0,0.2,1.0,5,1,0,0,28,5.1.1,US,MV,MV,samsung,0
8693,28,0,4,1,0.04132231405,0.1157024793,0.0,121,0,1,1,30,9,US,Fluent,Fluent,Google,0
6828,52,0,3,0,0.0,0.1470588235,0.0,34,0,0,0,54,6.0.1,US,Bidalgo - Facebook,MV,LGE,0
359,56,0,13,1,0.030534351150000007,0.3435114504,0.0,131,0,1,1,58,8.0.0,US,Facebook,MV,samsung,0
6313,39,0,0,0,0.06451612903,0.06451612903,0.0,31,0,1,0,41,6.0.1,US,MV,MV,samsung,0
8217,31,0,1,2,0.04347826087,0.05797101449,0.0,69,0,0,1,33,8.1.0,FI,Facebook,MV,Global,0
6389,23,0,1,0,0.0,0.1333333333,0.0,30,0,0,0,25,7,US,Facebook,MV,samsung,0
8075,23,0,9,1,0.047169811320000005,0.3018867925,0.0,106,0,0,0,25,7,US,Facebook,MV,LGE,0
765,31,0,2,0,0.008196721311,0.3606557377,0.0,122,0,0,1,33,8.1.0,US,MV,MV,samsung,0
8080,40,0,2,1,0.0,0.2926829268,0.0,41,0,1,1,42,8.1.0,GB,MV,MV,Other,0
8885,32,0,0,1,0.1025641026,0.1538461538,0.0,39,0,0,0,34,7,US,MV,MV,samsung,0
1730,38,0,1,2,0.04273504274,0.02564102564,0.0,117,0,0,1,40,8.0.0,NZ,MV,MV,samsung,0
5450,63,0,0,0,0.0,0.09090909091,0.0,44,0,0,0,65,7,US,Fluent,Fluent,LGE,0
1076,22,0,2,1,0.0,0.2272727273,0.0,44,0,0,0,24,7,CA,Facebook,MV,samsung,0
7679,62,0,3,2,0.01382488479,0.12903225810000002,0.0,217,0,0,1,64,8.0.0,US,Facebook,MV,samsung,0
7022,48,0,0,0,0.1632653061,0.14285714289999998,0.0,49,0,1,1,50,8.0.0,US,Bidalgo - Facebook,MV,motorola,0
4060,32,0,0,0,0.0,0.1388888889,0.0,36,0,0,0,34,7.1.1,US,Fluent,Fluent,motorola,0
4612,20,0,2,1,0.08,0.16,0.0,25,0,0,0,22,6,DK,Other,MV,HUAWEI,0
6897,22,0,2,0,0.0,0.1212121212,0.0,66,0,0,0,24,7.1.1,US,Facebook,MV,ZTE,0
6631,63,0,2,0,0.0,0.1666666667,0.0,30,0,1,0,65,7.1.2,US,Bidalgo - Facebook,MV,LGE,0
6166,34,0,0,0,0.0,0.1860465116,0.0,43,0,0,0,36,7.1.1,NZ,Other,MV,samsung,0
9283,13,0,2,1,0.01030927835,0.0412371134,0.0,97,0,0,1,15,8.1.0,FI,Bidalgo - Instagram,MV,OnePlus,0
6744,46,0,2,0,0.038461538460000014,0.3076923077,0.0,26,0,1,0,48,6,US,MV,MV,LGE,0
4323,30,0,2,1,0.04285714286,0.1142857143,0.0,70,0,1,1,32,9,AU_GB,Bidalgo - Facebook,MV,Google,0
4866,24,0,2,1,0.02816901408,0.1549295775,0.0,71,0,0,1,26,8.0.0,US,MV,MV,samsung,0
5895,38,0,2,1,0.0,0.1973684211,1.0,76,1,0,1,40,8.1.0,US,Bidalgo - Facebook,MV,samsung,0
1918,23,0,1,0,0.047169811320000005,0.1037735849,0.0,106,0,0,1,25,8.0.0,CA,MV,MV,samsung,0
8195,33,0,1,1,0.06329113924,0.08860759493999999,0.0,79,0,1,0,35,7.1.1,US,Bidalgo - Facebook,MV,ALCATEL,0
6505,13,0,0,0,0.0,0.1764705882,0.0,34,0,0,1,15,8.1.0,US,Facebook,MV,LGE,0
259,18,0,2,0,0.0,0.1515151515,0.0,33,0,0,1,20,8.1.0,US,Other,MV,samsung,0
8581,20,0,2,1,0.0,0.3611111111,0.0,36,0,0,0,22,6.0.1,US,Facebook,MV,motorola,0
7277,26,0,6,1,0.1379310345,0.1379310345,0.0,116,0,1,0,28,7.1.1,FR,Bidalgo - Instagram,MV,Sony,0
3501,52,0,1,1,0.05882352941000001,0.1960784314,0.0,51,0,1,1,54,9,US,Bidalgo - Facebook,MV,Google,0
8372,19,0,2,1,0.0,0.08064516129,0.0,62,0,0,1,21,8.0.0,US,Bidalgo - Instagram,MV,samsung,0
4738,23,0,2,0,0.0,0.3142857143,0.0,35,0,0,0,25,6.0.1,US,Other,MV,LGE,0
7226,22,0,0,0,0.05714285714,0.02857142857,0.0,70,0,0,0,24,7.1.2,FR,Bidalgo - Facebook,MV,Xiaomi,0
4886,36,0,3,2,0.01265822785,0.2658227848,0.0,79,0,1,0,38,6.0.1,US,Bidalgo - Facebook,MV,ZTE,0
2647,20,0,4,1,0.0303030303,0.2575757576,0.0,66,0,0,1,22,8.1.0,AU,Other,MV,samsung,0
7625,30,0,2,2,0.02654867257,0.04424778761,0.0,113,0,1,1,32,8.1.0,US,Bidalgo - Facebook,MV,asus,0
7123,24,0,2,0,0.1627906977,0.06976744186,0.0,43,0,1,1,26,8.1.0,FR,Bidalgo - Facebook,MV,samsung,0
2938,23,0,5,1,0.0,0.2777777778,0.0,72,0,0,1,25,8.1.0,US,MV,MV,samsung,0
6378,24,0,5,2,0.024193548390000003,0.4032258065,0.0,124,0,0,1,26,8.0.0,GB,Bidalgo - Instagram,MV,samsung,0
9429,12,0,4,0,0.0,0.3404255319,0.0,47,0,0,1,14,8.1.0,US,YouTube,MV,samsung,0
8155,62,0,0,0,0.0,0.06060606061000001,0.0,33,0,1,0,64,6.0.1,US,Bidalgo - Facebook,MV,ZTE,0
2210,35,0,1,0,0.02985074627,0.1791044776,0.0,67,0,1,0,37,7,US,Facebook,MV,samsung,0
204,56,0,0,0,0.02222222222,0.08888888889,0.0,45,0,0,1,58,8.0.0,US,Bidalgo - Facebook,MV,motorola,0
5399,45,0,0,1,0.1011235955,0.2134831461,0.0,89,0,1,0,47,7,US,Bidalgo - Facebook,MV,LGE,0
2110,30,0,0,0,0.06153846154,0.0,0.0,65,0,0,1,32,8.1.0,SE,Bidalgo - Facebook,MV,HUAWEI,0
2588,16,0,4,0,0.01428571429,0.1857142857,0.0,70,0,0,0,18,5,GB,Bidalgo - Instagram,MV,samsung,0
5233,15,0,1,2,0.0,0.046875,0.0,64,0,0,0,17,6.0.1,US,Facebook,MV,samsung,0
373,23,0,3,0,0.0,0.3666666667,0.0,90,0,0,1,25,8.0.0,DK,Facebook,MV,samsung,0
375,21,0,0,0,0.0,0.02631578947,0.0,38,0,1,0,23,7,SG,Other,MV,samsung,0
6545,22,0,3,0,0.0,0.1956521739,0.0,46,0,0,0,24,7.1.1,US,Facebook,MV,motorola,0
6400,18,0,2,0,0.0,0.1612903226,0.0,31,0,0,0,20,7,FI,MV,MV,HUAWEI,0
5514,13,0,3,1,0.0,0.07042253521000001,0.0,71,0,0,0,15,6.0.1,US,YouTube,MV,TCL,0
548,26,0,3,1,0.01587301587,0.17460317460000002,0.0,63,0,0,0,28,7,FR,Bidalgo - Instagram,MV,Other,0
7135,35,0,4,1,0.07575757576,0.07575757576,0.0,66,0,1,1,37,8.1.0,US,Facebook,MV,samsung,0
7126,42,0,0,0,0.0,0.3137254902,0.0,51,0,0,0,44,7,GB,Facebook,MV,samsung,0
9830,31,0,2,1,0.07608695652000001,0.1304347826,0.0,92,0,1,1,33,9,GB,Bidalgo - Facebook,MV,HUAWEI,0
2901,17,0,1,0,0.0,0.1724137931,0.0,29,0,1,0,19,5.1.1,NZ,Facebook,MV,samsung,0
4525,18,0,0,0,0.0,0.303030303,0.0,33,0,0,0,20,7.1.2,GB,Facebook,MV,Sony,0
6990,31,0,2,1,0.01428571429,0.12857142859999998,0.0,70,0,0,1,33,8.0.0,GB,YouTube,MV,samsung,0
6128,50,0,1,0,0.06666666667,0.09333333333,0.0,75,0,1,0,52,7.1.1,US,Fluent,Fluent,samsung,0
3915,23,0,5,1,0.0,0.2909090909,0.0,55,0,0,0,25,6.0.1,US,Google Adwords,MV,samsung,0
6391,21,0,1,1,0.0,0.03125,0.0,32,0,1,0,23,6.0.1,US,Fyber - Android,MV,ZTE,0
7837,43,0,0,1,0.07792207792,0.02597402597,0.0,77,0,1,1,45,8.0.0,US,Bidalgo - Facebook,MV,motorola,0
3435,33,0,6,1,0.0358974359,0.1743589744,0.0,195,0,0,1,35,8.0.0,US,Bidalgo - Facebook,MV,asus,0
9626,18,0,2,1,0.0,0.4390243902000001,0.0,41,0,0,0,20,7.1.2,US,MV,MV,LGE,0
6965,25,0,0,0,0.0,0.03703703704,0.0,27,0,0,1,27,9,FI,Bidalgo - Facebook,MV,Global,0
9165,32,0,0,0,0.0,0.09523809524,0.0,21,0,0,0,34,6.0.1,US,UnityAds - Android,MV,samsung,0
9413,21,0,1,0,0.04,0.1066666667,0.0,75,0,0,1,23,8.0.0,CA,Bidalgo - Facebook,MV,samsung,0
8998,35,0,1,1,0.0,0.08695652174,0.0,46,0,1,1,37,8.1.0,US,Facebook,MV,samsung,0
1045,20,0,4,0,0.01851851852,0.2962962963,0.0,54,0,0,0,22,7,FR,Bidalgo - Facebook,MV,Other,0
2915,18,0,3,0,0.0,0.1641791045,0.0,67,0,0,0,20,7.1.1,US,MV,MV,ZTE,0
9607,28,0,0,0,0.05454545455,0.1272727273,0.0,55,0,1,1,30,8.0.0,US,Bidalgo - Facebook,MV,LGE,0
4418,23,0,4,2,0.02298850575,0.2068965517,0.0,87,0,0,1,25,8.0.0,FR,Bidalgo - Instagram,MV,HUAWEI,0
6139,18,0,5,1,0.02564102564,0.3076923077,0.0,39,0,0,0,20,7,FI,Facebook,MV,HUAWEI,0
6914,14,0,4,2,0.01492537313,0.2985074627,0.0,67,0,0,1,16,8.0.0,NZ,Facebook,MV,HUAWEI,0
826,22,0,3,1,0.0,0.119047619,1.0,42,1,0,0,24,6.0.1,US,Facebook,MV,ZTE,0
9472,19,0,6,2,0.06306306306,0.2612612613,0.0,111,0,0,1,21,8.0.0,AU,Facebook,MV,LGE,0
8736,29,0,4,0,0.01351351351,0.3108108108,0.0,74,0,0,1,31,8.0.0,GB,Bidalgo - Facebook,MV,samsung,0
3047,60,0,5,1,0.1367924528,0.1273584906,0.0,212,0,1,1,62,8.1.0,US,Bidalgo - Facebook,MV,samsung,0
8642,18,0,0,0,0.0,0.05405405405,0.0,37,0,0,1,20,8.1.0,SE,Facebook,MV,samsung,0
7300,28,0,3,1,0.0,0.2641509434,0.0,53,0,1,0,30,7,US,YouTube,MV,LGE,0
7666,36,0,4,1,0.05172413793,0.2068965517,0.0,58,0,1,1,38,8.0.0,FI,Bidalgo - Instagram,MV,HUAWEI,0
2556,34,0,2,0,0.1617647059,0.1323529412,0.0,68,0,1,1,36,8.0.0,US,Bidalgo - Facebook,MV,motorola,0
6989,21,0,4,1,0.0,0.1086956522,0.0,46,0,0,1,23,8.0.0,FR,Bidalgo - Instagram,MV,samsung,0
7970,22,0,2,2,0.01724137931,0.05172413793,0.0,58,0,0,1,24,8.0.0,US,MV,MV,samsung,0
